"","SRR9313209","SRR9313210","SRR9313211","SRR9313212","SRR9313213","SRR9313214","SRR9313223","SRR9313224","SRR9313225","SRR9313226","SRR9313227","SRR9313228"
"AT5G41880",2.40183590297522,2.68910778085924,2.03565040083959,2.11337669415541,1.95283713306284,1.59138174801584,2.45603506982945,2.69413436361705,2.44787348437031,2.22695837907784,1.90183128648568,1.76953631736662
"AT5G41900",11.1048992839882,12.5960135291051,10.8435988224034,10.7325086035478,10.7419785014677,8.48300053562479,4.77948034363362,6.2802598038063,6.30439785428288,8.57948293485399,8.69238249434522,9.28240078149785
"AT5G41910",6.15052228859095,6.72398229166679,6.65936421585866,8.07164806802093,5.50081923907208,5.79434640615727,3.60862237319339,5.59184385058232,5.28541223105835,5.1619295666134,5.26859636663555,6.63101390067702
"AT5G41920",9.77787189816994,9.36279053089964,12.0278790417544,11.5910375983874,10.385314223812,10.3328193658744,4.48781729307513,5.80030277714916,6.59842158403045,5.02762284876464,5.46330401262639,5.24954696320564
"AT5G41940",33.543736246923,33.8165902439158,33.1365069426868,34.0083132825865,35.4872749564128,34.0896217379264,20.647282802744,29.1844176444322,29.4660222923579,27.9855656525232,27.6637413716363,27.2671287069237
"AT5G41950",38.5734041968249,32.1949615687092,32.5911466110987,33.0190028446135,35.639668501635,34.6386977271253,23.2925728100993,31.2209555220288,30.7062846047553,30.41935875017,31.7328296459664,33.13462737998
"AT5G41960",10.8824601553568,8.09059986998143,8.98015295821183,9.43699412108296,9.61799419637944,8.48038957824233,7.46291183014537,9.51432106587729,10.6419097308864,8.96722844506765,10.7035871904688,10.688010527328
"AT5G41970",16.840128596473,16.4663212486305,17.5696219533553,17.1465670925579,13.7410631980967,17.5846850843121,14.1913981948304,17.5566668328905,16.6928397975622,15.0081122329716,19.6491218727745,16.8196584314114
"AT5G41980",1.90649265603817,1.81293823360778,2.27268018907806,2.0667591047392,2.85505549881487,2.31338696319604,0.983304262243274,1.35220768830199,0.776392686421701,1.25027640759179,1.68897214295485,1.59664328460067
"AT5G42000",30.9785744010229,26.9342892186884,30.2265065221183,27.6897588654892,23.9572374429329,25.862053961947,36.228930076048,44.3896556126222,43.5499181253126,26.4700150632626,27.2102270267665,27.1393765020143
"AT5G42010",2.14845098733384,1.82579824182396,2.18375975104318,1.53273357362067,2.65179895688332,1.85708447386069,1.50352963820238,2.44536640918768,1.81310144540726,2.03340217923719,2.53558181729433,1.98859935888123
"AT5G42020",40.1307407620217,39.7539873062599,34.2623755777677,37.1287695521353,34.9890819048309,33.44726756781,32.2167056712441,47.9244997947587,38.4518533867351,36.8986057013871,37.5015025418188,32.6739079515719
"AT5G42030",55.7585082522471,49.6233810483305,54.9831075743785,57.7398932489001,55.4157297209223,50.2205500584416,44.2560436085155,61.7856580991323,55.5245090368096,53.307053665087,54.2375783302404,51.7345583988074
"AT5G42050",117.742746848049,123.76191362008,116.140118907594,114.421613358914,120.691772747898,112.427677604115,89.3510513834106,142.980001236737,118.319591076697,123.365815034088,133.185377987787,118.239759604197
